Tipo de vehiculo|coste|tiempo de llegada
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|635|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|635|
autobuses|12.62|695|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|635|
autobuses|12.62|695|
autobuses|12.62|795|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|635|
autobuses|12.62|695|
autobuses|12.62|795|
autobuses|12.62|850|
autobuses|12.62|35|
autobuses|12.62|115|
autobuses|12.62|185|
autobuses|12.62|325|
autobuses|12.62|430|
autobuses|12.62|470|
autobuses|12.62|505|
autobuses|12.62|610|
autobuses|12.62|635|
autobuses|12.62|695|
autobuses|12.62|795|
autobuses|12.62|850|
autobuses|12.62|890|
